iter	RMSE
125	0.1188846009
126	0.1184215726
127	0.1181193095
128	0.1175662961
129	0.1173738388
130	0.1171524504
131	0.1168890092
132	0.1165867982
133	0.1161731148
134	0.1159047834
135	0.115645823
136	0.1154921268
137	0.1153895667
138	0.1152435689
139	0.1149788664
140	0.1147373529
141	0.1145021397
142	0.1141356658
143	0.1140849919
144	0.1139170192
145	0.1136960354
146	0.1135288761
147	0.1130539952
148	0.1127974246
149	0.1126383865
150	0.1123484139
151	0.1121559643
152	0.1118621298
153	0.1115746374
154	0.1111902751
155	0.1110238669
156	0.1105827512
157	0.1104061138
158	0.1101933488
159	0.1098516994
160	0.1096543309
161	0.1094479573
162	0.1090715326
163	0.1089334396
164	0.1087350281
165	0.1085713697
166	0.1082946867
167	0.1081180952
168	0.1078790426
169	0.1075171863
170	0.1071965122
171	0.1070343872
172	0.1067927157
173	0.1064922955
174	0.1063629554
175	0.1062600587
176	0.1060718404
177	0.1058869741
178	0.1054746319
179	0.1052949874
180	0.1050949918
181	0.1049041039
182	0.1046298522
183	0.104275477
184	0.1040631456
185	0.1037736459
186	0.1036898632
187	0.1034993237
188	0.1034029969
189	0.103250025
190	0.1031299606
191	0.1028238912
192	0.1026442842
193	0.1024460406
194	0.1022820795
195	0.1021177908
196	0.1019517268
197	0.1017952947
198	0.1016289631
199	0.1014558928
200	0.1013640164
201	0.1012474228
202	0.1010511107
203	0.1008061578
204	0.1006488462
205	0.1004915371
206	0.1002513547
207	0.1000785788
208	0.09999453939
209	0.09985454558
210	0.09949289694
211	0.09931772181
212	0.09897300938
213	0.09879499853
214	0.09862589119
215	0.09845871845
216	0.09837304035
217	0.09821166785
218	0.09812331047
219	0.09804351882
220	0.09774112191
221	0.09764271887
222	0.09752412503
223	0.09731506497
224	0.09717741464
225	0.09692778475
226	0.09675100754
227	0.09652938482
228	0.09634114667
229	0.09617841196
230	0.09601022912
231	0.09569066441
232	0.09542711698
233	0.09535235731
234	0.09506580811
235	0.09486847046
236	0.0946206821
237	0.09447491113
238	0.09434127464
239	0.09422761693
240	0.09403863065
241	0.09387148354
242	0.09378748378
243	0.09374682489
244	0.09359588446
245	0.09336555049
246	0.09328845233
247	0.09301354999
248	0.09285493885
249	0.09273087287
250	0.09257121436
251	0.09241984144
252	0.09226328075
253	0.09214468352
254	0.0920807875
255	0.09180458761
256	0.09170901302
257	0.09154708603
258	0.09146088855
259	0.09136951702
260	0.09112754713
261	0.09099365425
262	0.09077709281
263	0.09062411474
264	0.09045203585
265	0.09031777313
266	0.0900440148
267	0.08981670043
268	0.08968569042
269	0.08943713836
270	0.08936128349
271	0.08922627595
272	0.089112784
273	0.08905123454
274	0.08887717196
275	0.08871351234
276	0.0884875307
277	0.08821930379
278	0.08813848811
279	0.08804873705
280	0.08791945364
281	0.0877877693
282	0.0875799302
283	0.0873965902
284	0.08733603645
285	0.08712155388
286	0.08701264402
287	0.08693634298
288	0.08686863132
289	0.08673044312
290	0.08660272866
291	0.0865169462
292	0.08639101382
293	0.08628766908
294	0.08618407662
295	0.08591672707
296	0.08574121639
297	0.08554799981
298	0.08550496529
299	0.08544446934
300	0.08537436471
301	0.08529837775
302	0.08522628329
303	0.08511284766
304	0.08496872241
305	0.08478624906
306	0.08457413746
307	0.08445114965
308	0.08436785113
309	0.0843061441
310	0.08410459394
311	0.08402397786
312	0.08397336642
313	0.08376491821
314	0.08364643267
315	0.08343403484
316	0.08331515004
317	0.08317298704
318	0.08299502476
319	0.08283936979
320	0.08269018043
321	0.0825335369
322	0.08238279275
323	0.08231179842
324	0.08226607332
325	0.08220511832
326	0.08215039693
327	0.08208938895
328	0.08195998874
329	0.08176616579
330	0.08168229242
331	0.08147380398
332	0.08130610977
333	0.08112453911
334	0.08092913674
335	0.08074510859
336	0.08060270042
337	0.08042010433
338	0.08032224346
339	0.08018706298
340	0.08011881742
341	0.08007538152
342	0.08005108373
343	0.07998072851
344	0.07981337032
345	0.07967194817
346	0.07951816374
347	0.0794134662
348	0.07934319089
349	0.07920730107
350	0.0790319047
351	0.0788387646
352	0.07876796625
353	0.0787105442
354	0.07860694338
355	0.07848729101
356	0.07841680599
357	0.07823859764
358	0.07817869711
359	0.0779925775
360	0.07779637184
361	0.07774447223
362	0.07755286901
363	0.07750250461
364	0.07730833765
365	0.07714103042
366	0.07709749654
367	0.07706004303
368	0.07692834281
369	0.07687311916
370	0.07680401557
371	0.07664596289
372	0.07657000225
373	0.07638009531
374	0.07633321379
375	0.07631440327
376	0.07627029876
377	0.07621415122
378	0.07609394487
379	0.07599683217
380	0.07595216986
381	0.07589881722
382	0.07558568587
383	0.07549157958
384	0.07544349397
385	0.07540489453
386	0.07531723204
387	0.07520232236
388	0.07511687505
389	0.07499965501
390	0.07489069017
391	0.07479531937
392	0.07464548147
393	0.07462026039
394	0.07445966766
395	0.07440391952
396	0.07425785991
397	0.07412220019
398	0.07405544096
399	0.07380469759
400	0.07349698012
401	0.07348511379
402	0.07343812753
403	0.073147641
404	0.07296050024
405	0.07269737862
406	0.07266466229
407	0.07249767553
408	0.07233660878
409	0.07217889461
410	0.07216798637
411	0.07201657679
412	0.07190849591
413	0.071758797
414	0.07170918
415	0.07161323467
416	0.07145794464
417	0.07141060006
418	0.07123007725
419	0.07102946702
420	0.07089598362
421	0.0707971554
422	0.07064737622
423	0.07049499396
424	0.07045994443
425	0.0702794647
426	0.07018599907
427	0.07015295388
428	0.06999286357
429	0.06991577463
430	0.06980662826
431	0.06964178834
432	0.06944906208
433	0.0694004591
434	0.06926652231
435	0.06907556608
436	0.06895868319
437	0.06886346535
438	0.06875427533
439	0.06868448323
440	0.06867715379
441	0.06850988728
442	0.06832555153
443	0.06823212101
444	0.06817356638
445	0.06806343063
446	0.06788431504
447	0.06773902779
448	0.06766659494
449	0.0676487721
450	0.06756654771
451	0.06754291508
452	0.06738106785
453	0.06726730743
454	0.06723046721
455	0.06711111843
456	0.06706777696
457	0.06704686161
458	0.06697081387
459	0.06689954365
460	0.06684697186
461	0.06671482131
462	0.06663644691
463	0.06657783451
464	0.0664065926
465	0.06637767273
466	0.06634193181
467	0.066206241
468	0.06600904492
469	0.06587011749
470	0.06583129801
471	0.06575478818
472	0.0656815927
473	0.06562088525
474	0.06550411038
475	0.06542769056
476	0.06534580265
477	0.06521549356
478	0.06512068016
479	0.06504494282
480	0.06497464999
481	0.06480587106
482	0.06473150043
483	0.06463254487
484	0.06456408316
485	0.06450193186
486	0.06443131302
487	0.06432979499
488	0.06427133101
489	0.06418660245
490	0.06404534816
491	0.06391210914
492	0.0637991922
493	0.06374271691
494	0.06366181176
495	0.06357167021
496	0.06346327337
497	0.06339665848
498	0.06335923259
499	0.06329643152
500	0.06310972764
501	0.06304144131
502	0.06295327396
503	0.06286793346
504	0.06280461179
505	0.06272175764
506	0.06264358198
507	0.06255581702
508	0.06244485823
509	0.06234951999
510	0.06219745969
511	0.06212362682
512	0.06211433535
513	0.06207579645
514	0.06198112677
515	0.06185749143
516	0.06184476502
517	0.06171107475
518	0.06163520334
519	0.06152476122
520	0.06144176087
521	0.0612231665
522	0.06114902622
523	0.06096597833
524	0.06087554203
525	0.06072329643
526	0.0606744159
527	0.06060046242
528	0.06045425667
529	0.06033928466
530	0.06026234322
531	0.06020370065
532	0.06003014722
533	0.05994850822
534	0.05985492406
535	0.05979008012
536	0.05957566623
537	0.05943379917
538	0.05935408664
539	0.05934340038
540	0.05927299958
541	0.05922290126
542	0.05916219494
543	0.05895209849
544	0.05875088525
545	0.05873154634
546	0.05870310463
547	0.05866526038
548	0.05859282744
549	0.05852372006
550	0.05832419929
551	0.05826646926
552	0.05810006189
553	0.05801792027
554	0.05794024571
555	0.05787436465
556	0.05779386689
557	0.05777999983
558	0.05771744468
559	0.0576092198
560	0.05756752588
561	0.05751104398
562	0.0573952646
563	0.05737059474
564	0.0572810014
565	0.05710471643
566	0.0570671719
567	0.05704793157
568	0.05697356532
569	0.05683973723
570	0.0567994562
571	0.05665242391
572	0.05662285227
573	0.05656487986
574	0.05648435843
575	0.05647421686
576	0.05627833708
577	0.05625959494
578	0.0561523382
579	0.056089222
580	0.05607138687
581	0.05597533747
582	0.05596747262
583	0.05595760931
584	0.05591756447
585	0.05585660402
586	0.05573576874
587	0.05569916025
588	0.05556828931
589	0.05551106612
590	0.05547134303
591	0.05536470998
592	0.05527652863
593	0.05520843415
594	0.05518007509
595	0.05505635872
596	0.05500567381
597	0.05486458437
598	0.05481810861
599	0.05473721382
600	0.05468819822
601	0.05464330987
602	0.05463034103
603	0.05459057573
604	0.05455374813
605	0.05441834782
606	0.05438557658
607	0.054284835
608	0.05425124332
609	0.05417752752
610	0.05404858635
611	0.05397647513
612	0.05382516601
613	0.0537899594
614	0.05371355079
615	0.05364174049
616	0.05363848385
617	0.05356528454
618	0.05346241955
619	0.05335528687
620	0.05329836552
621	0.05327110494
622	0.05320333145
623	0.05315280618
624	0.05306835478
625	0.05302144631
626	0.05295021073
627	0.05290284319
628	0.05279117302
629	0.05274807891
630	0.05269563981
631	0.05259175542
632	0.0524864887
633	0.05238936293
634	0.05232233239
635	0.05226302188
636	0.05223872844
637	0.05212223914
638	0.05202821071
639	0.05197994888
640	0.05197218344
641	0.05192861094
642	0.05189388635
643	0.05186109467
644	0.0518272239
645	0.05182045849
646	0.0517739052
647	0.05163320556
648	0.05151522824
649	0.05145479099
650	0.0513657977
651	0.0512077307
652	0.05115914271
653	0.05098322179
654	0.05092961368
655	0.05080019097
656	0.05069939082
657	0.05063546983
658	0.05056531516
659	0.05055298615
660	0.05042347139
661	0.05037817674
662	0.05033572644
663	0.05026219903
664	0.05019205668
665	0.05004922257
666	0.04995503595
667	0.04991000662
668	0.04984421616
669	0.04978172922
670	0.04959966983
671	0.04948669751
672	0.04935854715
673	0.04932934103
674	0.04917709415
675	0.04917446968
676	0.04916025163
677	0.04910220603
678	0.04909678013
679	0.04895888495
680	0.048797914
681	0.04864229175
682	0.04855332651
683	0.04854271045
684	0.04847372582
685	0.04841740577
686	0.04837410616
687	0.04830026596
688	0.04829394374
689	0.04815301158
690	0.04809682272
691	0.0480540247
692	0.04800471493
693	0.0479222772
694	0.04789181094
695	0.0478333472
696	0.04775576535
697	0.04765917537
698	0.04755949734
699	0.04750134214
700	0.04743707268
701	0.04739650855
702	0.0473072109
703	0.04719561703
704	0.047145045
705	0.04710129335
706	0.04697447226
707	0.04696921333
708	0.04696439851
709	0.04685783529
710	0.04680909698
711	0.0466907534
712	0.046584929
713	0.04651459566
714	0.04648749411
715	0.04640900663
716	0.04637397835
717	0.04622551996
718	0.04617768515
719	0.04617275061
720	0.04604866151
721	0.0460039394
722	0.04590056661
723	0.04583920177
724	0.04580130728
725	0.0457703025
726	0.04570173209
727	0.0456860866
728	0.0456220241
729	0.04560156706
730	0.04550116232
731	0.04546311376
732	0.04539996319
733	0.04529571875
734	0.04513411598
735	0.04501752577
736	0.04498627539
737	0.0449406635
738	0.04493587945
739	0.04487469267
740	0.04481286935
741	0.0447624679
742	0.04470315516
743	0.04458758245
744	0.04452193905
745	0.04449821197
746	0.04440814407
747	0.044369975
748	0.0443246545
749	0.04424565921
750	0.04420251312
751	0.04414311475
752	0.04406688434
753	0.04403174901
754	0.04392630689
755	0.04391909741
756	0.04389286247
757	0.04384968876
758	0.04376325955
759	0.04368073207
760	0.04365562016
761	0.04353266731
762	0.04352414369
763	0.04351903178
764	0.04344856015
765	0.04337546455
766	0.04332430853
767	0.04328598074
768	0.04322735288
769	0.04314638072
770	0.04310358877
771	0.04302251987
772	0.04299340018
773	0.04290869914
774	0.04282199219
775	0.04278266552
776	0.04267175104
777	0.04260504019
778	0.04257912844
779	0.04257605444
780	0.0424672136
781	0.04238828934
782	0.04235668993
783	0.04233002445
784	0.0423267258
785	0.042302179
786	0.0422169007
787	0.04219167263
788	0.04215235259
789	0.04208958976
790	0.04203678258
791	0.04203219468
792	0.04194663293
793	0.04181934258
794	0.04178434932
795	0.04174504184
796	0.04161214994
797	0.04150220776
798	0.0415005413
799	0.04139454516
800	0.04135470543
801	0.0413312089
802	0.04128966083
803	0.0412539387
804	0.04115499828
805	0.04107218208
806	0.04101960677
807	0.04089784174
808	0.04084514448
809	0.0408150071
810	0.04074742195
811	0.04067807428
812	0.04063415722
813	0.0405804943
814	0.0405594569
815	0.04055045084
816	0.0404610854
817	0.04040335593
818	0.0403554186
819	0.04028952167
820	0.04026573608
821	0.04024284377
822	0.04020709911
823	0.04013474224
824	0.04008002592
825	0.04003035899
826	0.03997436416
827	0.03996539737
828	0.03985850673
829	0.03981433885
830	0.03972671756
831	0.03971620092
832	0.03964948393
833	0.03959513616
834	0.03949513126
835	0.03945531077
836	0.03941725644
837	0.03935217653
838	0.03933015705
839	0.03927998079
840	0.03919148428
841	0.03916952883
842	0.03913124349
843	0.03911677856
844	0.03909016877
845	0.03905483556
846	0.03896686557
847	0.03885811518
848	0.03880375369
849	0.03878821088
850	0.03872473969
851	0.0386776309
852	0.03861204936
853	0.03855651176
854	0.03851394281
855	0.03847516305
856	0.0384621082
857	0.03842081515
858	0.03834741378
859	0.03834067257
860	0.0383155893
861	0.03829815271
862	0.03825519491
863	0.0382456171
864	0.03818622749
865	0.03812223828
866	0.0380466102
867	0.03799525578
868	0.0378931569
869	0.03784524773
870	0.03779540506
871	0.0377536803
872	0.03772794372
873	0.03769636998
874	0.03765333109
875	0.03758233516
876	0.03749896179
877	0.03749299546
878	0.03741224469
879	0.03733235973
880	0.03731668286
881	0.03730366464
882	0.03722907914
883	0.03714518758
884	0.03712144505
885	0.03710146971
886	0.03703270101
887	0.03693218577
888	0.03684910328
889	0.03678969179
890	0.03671748929
891	0.03669183013
892	0.03668008387
893	0.03660763404
894	0.03652851819
895	0.03652286428
896	0.03642709425
897	0.0363277188
898	0.03623558514
899	0.03622068435
900	0.03620336918
901	0.03617487413
902	0.03611838453
903	0.03607003684
904	0.0360415576
905	0.03595527593
906	0.03588658791
907	0.03587011605
908	0.03585234641
909	0.03582489789
910	0.03575690075
911	0.035686937
912	0.0356389023
913	0.03558886725
914	0.0354890408
915	0.03545129888
916	0.03537439611
917	0.03533100004
918	0.0352961794
919	0.03528074262
920	0.03524135146
921	0.03518451437
922	0.03507497352
923	0.03501032889
924	0.03495591674
925	0.03492990144
926	0.0348713612
927	0.03483012147
928	0.03475885202
929	0.03475505096
930	0.03466623237
931	0.03460990357
932	0.03454021766
933	0.03449540109
934	0.03444825734
935	0.0343905926
936	0.03433012572
937	0.03428155813
938	0.03424347183
939	0.03423109578
940	0.03416308455
941	0.03412335136
942	0.03408937572
943	0.03405844489
944	0.03397892762
945	0.03392919556
946	0.03392496967
947	0.03387730382
948	0.03379355836
949	0.03376658533
950	0.03371507846
951	0.0336760424
952	0.03366375616
953	0.03362534135
954	0.0335838524
955	0.03357680079
956	0.03355351419
957	0.03350785313
958	0.0334639811
959	0.03338217355
960	0.03332344348
961	0.03329377343
962	0.03325765443
963	0.03322162935
964	0.03317727547
965	0.03314667376
966	0.0331067734
967	0.03302752014
968	0.03297042544
969	0.03295718259
970	0.03290495867
971	0.03284758053
972	0.03277452153
973	0.032771168
974	0.03276140263
975	0.03270336116
976	0.03266910673
977	0.0326555092
978	0.03259663722
979	0.0325911132
980	0.03256552396
981	0.03248474898
982	0.03243588871
983	0.03241176194
984	0.03237138612
985	0.03233155199
986	0.03229281121
987	0.03220851053
988	0.03215731609
989	0.03214440105
990	0.03213116909
991	0.03211830937
992	0.03211434893
993	0.03207330339
994	0.03205263407
995	0.0319935759
996	0.03193820407
997	0.03187609613
998	0.03183026747
999	0.03178262851
